2015,price ,load,2016,price,load.1,2017,price.1,load.2,2018,price,load
Jan,64.9483,30005.1726,Jan,45.5622,29318.8183,Jan,79.5077,30246.8102,Jan,56.5601,29683.2826
Feb,56.4261,29482.1151,Feb,36.7389,29281.8892,Feb,55.2975,28774.8175,Feb,55.8161,30107.7975
Mar,55.5086,28436.6071,Mar,36.8174,28022.4454,Mar,50.9432,28614.9394,Mar,48.2698,29440.5302
Apr,58.4154,27443.6491,Apr,32.6191,28017.5634,Apr,51.7427,27070.6397,Apr,50.4219,27890.0862
May,57.3136,27464.7638,May,34.7274,27347.031,May,53.8119,27822.6676,May,61.6793,28030.76581
Jun,65.9955,28057.6675,Jun,46.2813,28281.6495,Jun,56.2481,30359.4923,Jun,64.3335,29251.5376
Jul,71.0692,30514.3539,Jul,47.498,29518.6914,Jul,55.2549,30104.576,Jul,67.78607,29607.86388
Aug,64.0283,27726.2543,Aug,47.5985,28790.9367,Aug,54.0826,28736.3203,Aug,70.3795,29070.4711
Sep,60.2497,27740.9568,Sep,50.4308,28225.248,Sep,55.8305,28184.3296,Sep,76.9198,29169.5799
Oct,59.3991,27617.8515,Oct,60.2095,27313.7793,Oct,63.9475,27666.8304,Oct,70.3823,28082.4253
Nov,60.723,28271.1752,Nov,62.5918,29144.4102,Nov,65.4428,29596.0335,Nov,66.6125,29455.6898
Dec,61.8873,27663.1226,Dec,67.601,28941.9986,Dec,65.1371,28986.9166,Dec,67.0384,28928.7846
